fname,label,length
5388d14d.wav,Saxophone,4.14
c685f05f.wav,Saxophone,1.54
36d20ab5.wav,Saxophone,4.9
d6665734.wav,Saxophone,10.5
7352e28f.wav,Saxophone,6.24
8fa096bf.wav,Saxophone,3.7
2f9c5f62.wav,Saxophone,5.0
9cd05a2b.wav,Saxophone,15.22
ab465bf9.wav,Saxophone,15.4
c40632d7.wav,Saxophone,11.3
3a80061f.wav,Saxophone,8.12
dba6817d.wav,Saxophone,4.34
25f26095.wav,Saxophone,2.04
37cebbd4.wav,Saxophone,6.16
f8d96888.wav,Saxophone,7.6
d94c94f0.wav,Saxophone,3.74
ec6afeb6.wav,Saxophone,11.88
5f0dc8e4.wav,Saxophone,5.0
b8c0a88a.wav,Saxophone,5.08
96dad435.wav,Saxophone,10.02
b120dc90.wav,Saxophone,3.74
c1948f24.wav,Saxophone,8.28
ac097834.wav,Saxophone,2.82
4345851e.wav,Saxophone,11.24
5d4f8187.wav,Saxophone,5.38
b83049f4.wav,Saxophone,6.66
c1c3c8b9.wav,Saxophone,13.58
78a86075.wav,Saxophone,5.9
f0d315bc.wav,Saxophone,4.42
9c0838c1.wav,Saxophone,9.78
d6144e01.wav,Violin_or_fiddle,2.96
cfb9c5fd.wav,Violin_or_fiddle,3.22
c6865306.wav,Violin_or_fiddle,19.28
642aba58.wav,Violin_or_fiddle,1.3
848faca3.wav,Violin_or_fiddle,1.74
7eb9dac0.wav,Violin_or_fiddle,7.64
8d7d7dba.wav,Violin_or_fiddle,6.34
2424ad60.wav,Violin_or_fiddle,4.5
ba648ac1.wav,Violin_or_fiddle,1.62
2e4a9850.wav,Violin_or_fiddle,1.06
2cc8683d.wav,Violin_or_fiddle,6.34
7b6a119e.wav,Violin_or_fiddle,1.72
68589f79.wav,Violin_or_fiddle,3.0
fec00143.wav,Violin_or_fiddle,6.28
1b24c166.wav,Violin_or_fiddle,3.5
6eb59008.wav,Violin_or_fiddle,1.46
0e7cd4eb.wav,Violin_or_fiddle,6.08
56e79c6f.wav,Violin_or_fiddle,16.68
cdc5fe8e.wav,Violin_or_fiddle,1.5
b38409bb.wav,Violin_or_fiddle,1.04
c8c117dc.wav,Violin_or_fiddle,1.34
b73c3595.wav,Violin_or_fiddle,2.72
d84c8c43.wav,Violin_or_fiddle,3.9
d914225a.wav,Violin_or_fiddle,4.02
1148986e.wav,Violin_or_fiddle,1.94
e3f479f3.wav,Violin_or_fiddle,15.24
aab28420.wav,Violin_or_fiddle,2.68
21346775.wav,Violin_or_fiddle,1.52
cdeece57.wav,Violin_or_fiddle,3.52
c9fb642d.wav,Violin_or_fiddle,1.76
078f7ac0.wav,Hi-hat,3.14
e897db78.wav,Hi-hat,4.18
b31ed1fb.wav,Hi-hat,4.18
06c48eab.wav,Hi-hat,4.18
2503aaa1.wav,Hi-hat,3.14
3d3439f1.wav,Hi-hat,1.68
34a90030.wav,Hi-hat,3.14
da4b0379.wav,Hi-hat,1.68
a090c45a.wav,Hi-hat,1.68
41897c32.wav,Hi-hat,4.18
2032be87.wav,Hi-hat,3.14
73677128.wav,Hi-hat,3.14
c53a217e.wav,Hi-hat,3.14
f0dfe343.wav,Hi-hat,3.14
0ed06544.wav,Hi-hat,3.14
99c96a07.wav,Hi-hat,1.72
3a3d0279.wav,Hi-hat,1.68
612702c3.wav,Hi-hat,3.14
d6854eb4.wav,Hi-hat,5.6
52300f9b.wav,Hi-hat,3.14
09a1cfd7.wav,Hi-hat,1.68
3aafb6ad.wav,Hi-hat,4.18
493c247b.wav,Hi-hat,3.14
5ec7ad26.wav,Hi-hat,4.18
a1b369d7.wav,Hi-hat,4.18
8cd809d3.wav,Hi-hat,4.18
aed9d22f.wav,Hi-hat,3.14
a7964699.wav,Hi-hat,4.18
